Real – io – standard,Real – io – queues 16 to 8,Real – io – quantom 200 to 1000,Real – io – timeout 5 to 20
24,26,41,28
24,26,43,28
24,26,41,27
24,26,38,28
24,27,39,27
23,25,39,27
24,27,38,28
23,27,42,28
24,27,44,27
25,27,40,27
,,,
System – io – standard,System – io – queues 16 to 8,System – io – quantom 200 to 1000,System – io – time 5 to 20
1062,1087,1025,1071
1078,1096,1061,1087
1059,1093,1072,1113
1062,1076,1035,1112
1075,1118,1011,1087
1055,1072,995,1109
1076,1105,1055,1075
1058,1079,1069,1079
1060,1033,1007,1121
1110,1074,1032,1112
,,,
User – io – standard,User – io – queues 16 to 8,User – io – quantom 200 to 1000,User – io – 5 to 20
203,217,195,232
199,204,191,207
189,211,195,183
202,217,181,186
193,183,197,208
187,224,191,185
187,188,196,225
197,224,204,212
193,259,194,174
180,218,211,174
